PMID,miRNA,disease
33061456,hsa-mir-335,Breast Neoplasms
32919956,hsa-mir-335,Urinary Bladder Neoplasms
35126697,hsa-mir-98,Osteoporosis
34155816,hsa-mir-98,"Arthritis, Rheumatoid"
31077735,hsa-mir-98,"Arthritis, Rheumatoid"
32888161,hsa-mir-98,Cardiomyopathies
35396910,hsa-mir-98,Asthma
32888161,hsa-mir-98,Myocardial Infarction
36657061,hsa-mir-98,Ovarian Neoplasms
35993940,hsa-mir-98,"Carcinoma, Non-Small-Cell Lung"
34370878,hsa-mir-98,Colorectal Neoplasms
34162562,hsa-mir-98,Esophageal Squamous Cell Carcinoma
32950571,hsa-mir-98,Breast Neoplasms
31799646,hsa-mir-98,Osteosarcoma
31220419,hsa-mir-98,Lung Neoplasms
34157472,hsa-mir-98,COVID-19
34131102,hsa-mir-98,"Thyroid Cancer, Papillary"
33414461,hsa-mir-98,Ischemic Stroke
33082912,hsa-mir-98,Brain Ischemia
32114955,hsa-mir-98,Mesothelioma
31033463,hsa-mir-98,Retinoblastoma
30463687,hsa-mir-98,Urinary Bladder Neoplasms
34227845,hsa-mir-98,Ischemic Stroke
34796378,hsa-mir-98,Polycystic Ovary Syndrome
34604211,hsa-mir-98,"Carcinoma, Non-Small-Cell Lung"
36074900,hsa-mir-365,Anovulation
34160186,hsa-mir-365,"Infantile convulsions and paroxysmal choreoathetosis, familial"
34204617,hsa-mir-365,Squamous Cell Carcinoma of Head and Neck
33881703,hsa-mir-365,Diabetic Nephropathies
33545926,hsa-mir-365,Ovarian Neoplasms
31287025,hsa-mir-365,Osteoarthritis
33292210,hsa-mir-365,Precancerous Conditions
33178344,hsa-mir-365,Diabetic Retinopathy
31966789,hsa-mir-365,"Carcinoma, Hepatocellular"
30410394,hsa-mir-365,Esophageal Squamous Cell Carcinoma
35007850,hsa-mir-365,Stomach Neoplasms
34826047,hsa-mir-101a,Parkinson Disease
30693688,hsa-mir-101a,Alzheimer Disease
31295021,hsa-mir-184,Inflammation
32766356,hsa-mir-184,Cardiomyopathy dilated with woolly hair and keratoderma
31295021,hsa-mir-184,Keratitis
36016851,hsa-mir-184,"Carcinoma, Non-Small-Cell Lung"
35690295,hsa-mir-184,Macular Degeneration
35578071,hsa-mir-184,Adenocarcinoma of Lung
34328198,hsa-mir-184,Prostatic Neoplasms
31566711,hsa-mir-184,"Carcinoma, Hepatocellular"
31486487,hsa-mir-184,"Carcinoma, Renal Cell"
30536131,hsa-mir-184,"Fibrosis, Renal"
33173535,hsa-mir-184,"Carcinoma, Renal Cell"
32380055,hsa-mir-184,Liver Cirrhosis
32021286,hsa-mir-184,"Carcinoma, Hepatocellular"
35371326,hsa-mir-184,"Carcinoma, Renal Cell"
33816469,hsa-mir-184,Stomach Neoplasms
34911832,hsa-mir-20,Inflammation
32026628,hsa-mir-20,Hyperglycemia
32128852,hsa-mir-20,"Carcinoma, Hepatocellular"
30851060,hsa-mir-20,Stomach Neoplasms
31829167,hsa-mir-20,Burns
31089916,hsa-mir-20,Reperfusion Injury
35786454,hsa-mir-20,Sepsis
35075548,hsa-mir-20,Depression
33966211,hsa-mir-215,Acidosis
35413439,hsa-mir-215,Inflammation
33173413,hsa-mir-215,"Carcinoma, Hepatocellular"
32017004,hsa-mir-215,Prostatic Neoplasms
31498483,hsa-mir-215,Multiple Myeloma
34321385,hsa-mir-215,Heart Failure
31391457,hsa-mir-215,Diabetic Nephropathies
31298315,hsa-mir-215,Uterine Cervical Neoplasms
31297882,hsa-mir-215,"Carcinoma, Hepatocellular"
31020657,hsa-mir-215,Colorectal Neoplasms
31020657,hsa-mir-215,Crohn Disease
34239561,hsa-mir-215,Breast Neoplasms
33083296,hsa-mir-215,Retinoblastoma
32903414,hsa-mir-215,Adenocarcinoma of Lung
32271421,hsa-mir-215,Stomach Neoplasms
35117890,hsa-mir-215,Colorectal Neoplasms
32881074,hsa-mir-215,Psoriasis
33596914,hsa-mir-219,Borderline Personality Disorder
35762105,hsa-mir-219,Glioblastoma
32176624,hsa-mir-219,Glioblastoma
30766610,hsa-mir-219,Esophageal Squamous Cell Carcinoma
36494581,hsa-mir-219,Ovarian Neoplasms
33573388,hsa-mir-219,Endometrial Neoplasms
34663343,hsa-mir-1285,Adenocarcinoma of Lung
34306364,hsa-mir-1285,Squamous Cell Carcinoma of Head and Neck
32099465,hsa-mir-1285,Ovarian Neoplasms
33374314,hsa-mir-614,Breast Neoplasms
36214714,hsa-mir-642a,Glioblastoma
36545127,hsa-mir-642a,Colonic Neoplasms
35484565,hsa-mir-642a,Gallbladder Neoplasms
32732911,hsa-mir-1193,Glioblastoma
32206944,hsa-mir-449b,Inflammation
32376557,hsa-mir-449b,Stomach Neoplasms
30793707,hsa-mir-449b,Osteosarcoma
33645622,hsa-mir-449b,Sepsis
33645622,hsa-mir-449b,Cardiomyopathies
31336052,hsa-mir-449b,Diabetic Nephropathies
33275219,hsa-mir-449b,"Carcinoma, Endometrioid"
33191397,hsa-mir-449b,Adenocarcinoma of Lung
31378877,hsa-mir-449b,Osteoporosis
31216648,hsa-mir-449b,Endometrial Neoplasms
31433128,hsa-mir-449b,Nasopharyngeal Carcinoma
32256731,hsa-mir-449b,"Carcinoma, Non-Small-Cell Lung"
34914969,hsa-mir-489,"Reperfusion Injury, Cerebral Ischemia"
34335751,hsa-mir-489,Squamous Cell Carcinoma of Head and Neck
35897675,hsa-mir-489,Breast Neoplasms
32373947,hsa-mir-489,Ovarian Neoplasms
31289307,hsa-mir-410,"Hypertension, Pulmonary"
35735114,hsa-mir-410,Inflammatory Bowel Diseases
34951337,hsa-mir-410,Cardiomegaly
32983133,hsa-mir-410,"Arthritis, Rheumatoid"
32553931,hsa-mir-410,Osteosarcoma
32538761,hsa-mir-410,Osteosarcoma
31960827,hsa-mir-410,Glioma
35668775,hsa-mir-410,"Arthritis, Rheumatoid"
34851489,hsa-mir-410,Brain Ischemia
34851489,hsa-mir-410,"Reperfusion Injury, Cerebral Ischemia"
34471374,hsa-mir-410,Neonatal Sepsis
32904350,hsa-mir-410,"Carcinoma, Non-Small-Cell Lung"
31908530,hsa-mir-410,Glioma
31350734,hsa-mir-410,Cognition Disorders
31067440,hsa-mir-410,Parkinson Disease
30498093,hsa-mir-410,Glioma
36604774,hsa-mir-548e,Migraine Disorders
32353736,hsa-mir-548e,Ovarian Neoplasms
33335585,hsa-mir-21,Insulinoma
35358000,hsa-mir-584,Urinary Bladder Neoplasms
32420810,hsa-mir-584,"Carcinoma, Non-Small-Cell Lung"
31044566,hsa-mir-584,"Carcinoma, Hepatocellular"
32096176,hsa-mir-584,Ovarian Neoplasms
36740760,hsa-mir-584,"Carcinoma, Hepatocellular"
30754729,hsa-mir-584,Melanoma
32346311,hsa-mir-584,Osteosarcoma
35600767,hsa-mir-134,Neurotic Disorders
33431894,hsa-mir-134,Status Epilepticus
31152340,hsa-mir-134,Hyperphagia
34773593,hsa-mir-134,Parkinson Disease
33111745,hsa-mir-134,Pre-Eclampsia
32711110,hsa-mir-134,"Carcinoma, Hepatocellular"
31885751,hsa-mir-134,"Carcinoma, Non-Small-Cell Lung"
31600142,hsa-mir-134,Osteosarcoma
35659969,hsa-mir-134,Depression
35116702,hsa-mir-134,"Pulmonary Disease, Chronic Obstructive"
33387127,hsa-mir-134,"Carcinoma, Hepatocellular"
32916774,hsa-mir-134,Glioma
32572699,hsa-mir-134,"Carcinoma, Squamous Cell, Skin"
32106369,hsa-mir-134,"Carcinoma, Hepatocellular"
31983121,hsa-mir-134,Glioma
31426282,hsa-mir-134,"Carcinoma, Hepatocellular"
35592499,hsa-mir-134,Angelman Syndrome
35592499,hsa-mir-134,Seizures
32566081,hsa-mir-134,"Hypoxia-Ischemia, Brain"
31949828,hsa-mir-134,Melanoma
31934035,hsa-mir-134,Esophageal Squamous Cell Carcinoma
33169800,hsa-mir-134,Ovarian Neoplasms
33426239,hsa-mir-134,Femur Head Necrosis
34225726,hsa-mir-134,Breast Neoplasms
33669304,hsa-mir-219a,Neuroaxonal Dystrophies
33405003,hsa-mir-219a,Gestational Trophoblastic Disease
33660800,hsa-mir-219a,Adenocarcinoma of Lung
34113391,hsa-mir-219a,Gallbladder Neoplasms
32249206,hsa-mir-219a,"Reperfusion Injury, Cerebral Ischemia"
33968189,hsa-mir-219a,Thyroid Neoplasms
35971776,hsa-mir-7002,Inflammation
35971776,hsa-mir-7002,Fanconi Syndrome
35687299,hsa-mir-544,Spinal Cord Injuries
35592503,hsa-mir-145a,Myocardial Infarction
31982428,hsa-mir-145a,Cardiomegaly
32314193,hsa-mir-23c,Endometrial Neoplasms
32509211,hsa-mir-23c,"Carcinoma, Hepatocellular"
33205379,hsa-mir-25,Inflammation
33205379,hsa-mir-25,Spinal Cord Injuries
32487755,hsa-mir-25,Tuberculosis
33770322,hsa-mir-25,Nasopharyngeal Carcinoma
31541886,hsa-mir-25,Melanoma
33907435,hsa-mir-25,Diabetic Nephropathies
35984538,hsa-mir-640,Glioblastoma
32252341,hsa-mir-154,Alveolar Bone Loss
32549181,hsa-mir-154,Mouth Neoplasms
32432753,hsa-mir-154,Glioma
36199571,hsa-mir-154,Urinary Bladder Neoplasms
34956453,hsa-mir-154,Osteosarcoma
32138544,hsa-mir-154,"Carcinoma, Renal Cell"
36889558,hsa-mir-154,Adenocarcinoma of Lung
32742484,hsa-mir-154,Uterine Cervical Neoplasms
35959879,hsa-mir-505,Primary Graft Dysfunction
32293484,hsa-mir-505,Osteoporosis
36762036,hsa-mir-505,Glioblastoma
34077011,hsa-mir-505,Osteosarcoma
31773695,hsa-mir-505,Colorectal Neoplasms
30628663,hsa-mir-505,"Carcinoma, Non-Small-Cell Lung"
35722429,hsa-mir-505,Ovarian Neoplasms
31962101,hsa-mir-708,"Carcinoma, Hepatocellular"
34426596,hsa-mir-708,"Neoplasms, Second Primary"
35460325,hsa-mir-708,Ventricular Premature Complexes
32721464,hsa-mir-708,Inflammation
32721464,hsa-mir-708,Fatty Liver
35368795,hsa-mir-708,Osteoporosis
33275250,hsa-mir-708,"Reperfusion Injury, Cerebral Ischemia"
32523373,hsa-mir-708,Osteosarcoma
31583122,hsa-mir-708,Prostatic Neoplasms
35159335,hsa-mir-708,"Pulmonary Disease, Chronic Obstructive"
34583064,hsa-mir-708,"Carcinoma, Hepatocellular"
32535381,hsa-mir-708,Colonic Neoplasms
33414806,hsa-mir-708,Osteosarcoma
32478052,hsa-let-7i,Urethral Stricture
34543777,hsa-let-7i,"Carcinoma, Non-Small-Cell Lung"
34096173,hsa-let-7i,Melanoma
32799221,hsa-let-7i,Colorectal Neoplasms
33775245,hsa-let-7i,"Carcinoma, Renal Cell"
31908526,hsa-let-7i,Glioblastoma
33230480,hsa-let-7i,Esophageal Neoplasms
36527891,hsa-mir-483,"Leukemia, Monocytic, Acute"
32210581,hsa-mir-483,Glioma
31938444,hsa-mir-483,Lung Neoplasms
32703413,hsa-mir-483,Cartilage Diseases
31938018,hsa-mir-483,Prostatic Neoplasms
31517861,hsa-mir-483,"Echinococcosis, Hepatic"
33431790,hsa-mir-483,Breast Neoplasms
33564883,hsa-mir-483,"Diabetes Mellitus, Type 2"
33378038,hsa-mir-873,Hypoxia
36326096,hsa-mir-873,Esophageal Squamous Cell Carcinoma
35558291,hsa-mir-873,Polycystic Ovary Syndrome
33378038,hsa-mir-873,Myocardial Infarction
34553450,hsa-mir-873,Myocardial Reperfusion Injury
35558291,hsa-mir-873,Granulomatosis with Polyangiitis
36272150,hsa-mir-873,Osteosarcoma
35241028,hsa-mir-873,Esophageal Squamous Cell Carcinoma
34783233,hsa-mir-873,"Carcinoma, Hepatocellular"
33783940,hsa-mir-873,"Carcinoma, Non-Small-Cell Lung"
32014424,hsa-mir-873,Osteosarcoma
31897227,hsa-mir-873,Triple Negative Breast Neoplasms
31152315,hsa-mir-873,Colorectal Neoplasms
31120927,hsa-mir-873,Breast Neoplasms
35517406,hsa-mir-873,Glioma
33042427,hsa-mir-873,Thyroid Neoplasms
31910027,hsa-mir-873,"Diabetes, Gestational"
31910027,hsa-mir-873,Cardiomyopathies
34790374,hsa-mir-873,Stomach Neoplasms
34898365,hsa-mir-369,Osteoarthritis
34403535,hsa-mir-369,Squamous Cell Carcinoma of Head and Neck
33792408,hsa-mir-369,"Carcinoma, Hepatocellular"
33760118,hsa-mir-369,Pulmonary Fibrosis
30904666,hsa-mir-369,Infant Nutrition Disorders
30904666,hsa-mir-369,Anxiety Disorders
34036390,hsa-mir-421,Acute Lung Injury
34414857,hsa-mir-421,Neurotoxicity Syndromes
35170375,hsa-mir-421,Inflammation
33433806,hsa-mir-421,"Carcinoma, Hepatocellular"
31646548,hsa-mir-421,"Arthritis, Rheumatoid"
31638182,hsa-mir-421,Ovarian Neoplasms
31115507,hsa-mir-421,"Carcinoma, Non-Small-Cell Lung"
30417784,hsa-mir-421,Breast Neoplasms
32765068,hsa-mir-421,Squamous Cell Carcinoma of Head and Neck
31966704,hsa-mir-421,Liver Neoplasms
31400609,hsa-mir-421,Glioma
31194025,hsa-mir-421,Stomach Neoplasms
31632519,hsa-mir-421,Uterine Cervical Neoplasms
32884301,hsa-mir-421,Ovarian Neoplasms
34938121,hsa-mir-421,Stomach Neoplasms
33061428,hsa-mir-421,Ovarian Neoplasms
32904410,hsa-mir-421,Colorectal Neoplasms
332884301,hsa-mir-421,Ovarian Neoplasms
34933738,hsa-mir-103,Breast Neoplasms
33730981,hsa-mir-103,Asthma
31273221,hsa-mir-103,Colorectal Neoplasms
31232476,hsa-mir-103,Atherosclerosis
31038780,hsa-mir-103,Nasopharyngeal Carcinoma
30472379,hsa-mir-103,Colorectal Neoplasms
33583602,hsa-mir-103,Polycystic Ovary Syndrome
32545591,hsa-mir-103,ACTH-Secreting Pituitary Adenoma
35606603,hsa-mir-103,Non-alcoholic Fatty Liver Disease
35606603,hsa-mir-103,Fatty Liver
35592920,hsa-mir-103,Muscular Atrophy
32888019,hsa-mir-103,Sciatic Neuropathy
31081105,hsa-mir-593,"Hypertension, Pulmonary"
30924320,hsa-mir-593,Glioma
34168916,hsa-mir-593,Glioblastoma
30425531,hsa-mir-593,Stomach Neoplasms
34028890,hsa-mir-593,Stomach Neoplasms
31972361,hsa-mir-593,Rectal Neoplasms
35441953,hsa-mir-1224,Colorectal Neoplasms
35012431,hsa-mir-1224,Laryngeal Papilloma
34637688,hsa-mir-1224,Polycystic Ovary Syndrome
32732965,hsa-mir-1224,Squamous Cell Carcinoma of Head and Neck
32534700,hsa-mir-1224,Esophageal Squamous Cell Carcinoma
32409958,hsa-mir-1224,Ovarian Neoplasms
30964106,hsa-mir-1224,"Carcinoma, Hepatocellular"
35799888,hsa-mir-1224,Acute Lung Injury
35799888,hsa-mir-1224,Sepsis
31646570,hsa-mir-1224,Lung Neoplasms
36035170,hsa-mir-1224,Lumbosacral Spinal Root Avulsion
33614242,hsa-mir-1224,"Carcinoma, Hepatocellular"
31019895,hsa-mir-1224,Stomach Neoplasms
34305410,hsa-mir-1224,Triple Negative Breast Neoplasms
33244266,hsa-mir-1224,Stomach Neoplasms
33235467,hsa-mir-1224,Osteosarcoma
35545535,hsa-mir-508,"Diabetes, Gestational"
31920393,hsa-mir-508,Esophageal Neoplasms
35318304,hsa-mir-508,Endometrial Neoplasms
34504061,hsa-mir-508,Lung Neoplasms
33037684,hsa-mir-508,Glioma
31135068,hsa-mir-508,Stomach Neoplasms
36071678,hsa-mir-513a,Colonic Neoplasms
35895184,hsa-mir-513a,Uterine Cervical Neoplasms
33113626,hsa-mir-513a,Wilms Tumor
31805126,hsa-mir-513a,Glioma
31273338,hsa-mir-513a,Nasopharyngeal Neoplasms
33155195,hsa-mir-513a,Ovarian Neoplasms
32023766,hsa-mir-513a,Stomach Neoplasms
33469378,hsa-mir-513a,Stomach Neoplasms
33149676,hsa-mir-513a,Breast Neoplasms
32537015,hsa-mir-513a,Colorectal Neoplasms
30626475,hsa-mir-451a,"Carcinoma, Hepatocellular"
30788382,hsa-mir-451a,"Carcinoma, Hepatocellular"
34345270,hsa-mir-451a,Granulomatosis with Polyangiitis
36327779,hsa-mir-451a,"Carcinoma, Non-Small-Cell Lung"
35332770,hsa-mir-451a,Squamous Cell Carcinoma of Head and Neck
34516344,hsa-mir-451a,Nasopharyngeal Carcinoma
33460027,hsa-mir-451a,Small Cell Lung Carcinoma
33238267,hsa-mir-451a,"Enterocolitis, Necrotizing"
32013265,hsa-mir-451a,Stomach Neoplasms
34282122,hsa-mir-451a,"Lupus Erythematosus, Systemic"
33968711,hsa-mir-451a,Colonic Neoplasms
33850555,hsa-mir-451a,Polycystic Ovary Syndrome
32934693,hsa-mir-451a,Colorectal Neoplasms
33882369,hsa-mir-451a,Pancreatic Neoplasms
30453026,hsa-mir-2,Growth Disorders
34029007,hsa-mir-129-2,"Epilepsy, Temporal Lobe"
33753463,hsa-mir-129-2,Adenocarcinoma of Lung
32231727,hsa-mir-129-2,Cholangiocarcinoma
36911384,hsa-mir-129-2,Endometrial Neoplasms
35732999,hsa-mir-1291,Pancreatic Carcinoma
35156509,hsa-mir-1291,Esophageal Squamous Cell Carcinoma
33051382,hsa-mir-1291,Pancreatic Carcinoma
35309146,hsa-mir-1291,Intervertebral Disc Degeneration
34865205,hsa-mir-651,Breast Neoplasms
34592963,hsa-mir-1226,Periodontitis
32744687,hsa-mir-1226,"Carcinoma, Hepatocellular"
35675666,hsa-mir-1226,Nasopharyngeal Carcinoma
31127852,hsa-mir-105,Liver Neoplasms
31364116,hsa-mir-105,Stomach Neoplasms
33722196,hsa-mir-105,Breast Neoplasms
33936365,hsa-mir-105,Colonic Neoplasms
33469676,hsa-mir-153,Liver Neoplasms
35635053,hsa-mir-153,Squamous Cell Carcinoma of Head and Neck
35611687,hsa-mir-153,Adenocarcinoma of Lung
35088224,hsa-mir-153,Stomach Neoplasms
35072892,hsa-mir-153,Colorectal Neoplasms
34643245,hsa-mir-153,Lung Neoplasms
34324029,hsa-mir-153,Breast Neoplasms
33051357,hsa-mir-153,Retinoblastoma
32675387,hsa-mir-153,Mouth Neoplasms
32342278,hsa-mir-153,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
32196594,hsa-mir-153,Stomach Neoplasms
32012470,hsa-mir-153,Esophageal Squamous Cell Carcinoma
30929576,hsa-mir-153,"Thyroid cancer, medullary"
30811764,hsa-mir-153,"Thyroid Cancer, Papillary"
36760719,hsa-mir-153,"Carcinoma, Non-Small-Cell Lung"
35259352,hsa-mir-153,"Stress Disorders, Post-Traumatic"
35117926,hsa-mir-153,Melanoma
33889573,hsa-mir-153,"Carcinoma, Hepatocellular"
31966509,hsa-mir-153,"Renal Insufficiency, Chronic"
31966509,hsa-mir-153,Vascular Calcification
35316873,hsa-mir-153,"Lymphoma, Large B-Cell, Diffuse"
30975733,hsa-mir-153,Autistic Disorder
30761256,hsa-mir-153,Adenocarcinoma of Lung
36329790,hsa-mir-153,Prostatic Neoplasms
34377277,hsa-mir-153,Spinal Cord Injuries
30655812,hsa-mir-153,Nasopharyngeal Neoplasms
34455899,hsa-mir-153,Breast Neoplasms
32849774,hsa-mir-153,Stomach Neoplasms
32694556,hsa-mir-526b,Pulmonary Fibrosis
32249539,hsa-mir-526b,Osteosarcoma
30859853,hsa-mir-526b,Uterine Cervical Neoplasms
32002028,hsa-mir-526b,"Carcinoma, Non-Small-Cell Lung"
35189053,hsa-mir-526b,Melanoma
35533615,hsa-mir-526b,Uterine Cervical Neoplasms
35000595,hsa-mir-526b,"Carcinoma, Non-Small-Cell Lung"
35568971,hsa-mir-618,"Tuberculosis, Pulmonary"
30737902,hsa-mir-618,Stomach Neoplasms
31819516,hsa-mir-618,Stomach Neoplasms
33155190,hsa-mir-655,Pre-Eclampsia
31114987,hsa-mir-655,Ovarian Neoplasms
34222668,hsa-mir-655,Retinoblastoma
33093919,hsa-mir-655,Squamous Cell Carcinoma of Head and Neck
33498448,hsa-mir-655,Squamous Cell Carcinoma of Head and Neck
32703403,hsa-mir-655,Squamous Cell Carcinoma of Head and Neck
35990372,hsa-mir-655,Nasopharyngeal Neoplasms
36153434,hsa-mir-770,Diabetic Nephropathies
33811842,hsa-mir-770,Glioblastoma
33284890,hsa-mir-770,Stomach Neoplasms
33363214,hsa-mir-940,Urinary Bladder Neoplasms
31002163,hsa-mir-940,"Abortion, Septic"
35364057,hsa-mir-940,Esophageal Squamous Cell Carcinoma
35297212,hsa-mir-940,Esophageal Squamous Cell Carcinoma
31435813,hsa-mir-940,Osteoarthritis
31214736,hsa-mir-940,Squamous Cell Carcinoma of Head and Neck
35004257,hsa-mir-940,Adenocarcinoma of Lung
31686839,hsa-mir-940,Uterine Cervical Neoplasms
34157472,hsa-mir-432,COVID-19
32681833,hsa-mir-432,"Carcinoma, Non-Small-Cell Lung"
32351291,hsa-mir-432,Pancreatic Carcinoma
31504797,hsa-mir-432,Glioblastoma
31318608,hsa-mir-432,Urinary Bladder Neoplasms
36249712,hsa-mir-432,"Carcinoma, Non-Small-Cell Lung"
33717244,hsa-mir-432,Colorectal Neoplasms
31281461,hsa-mir-432,Adenocarcinoma of Lung
31922210,hsa-mir-432,Uterine Cervical Neoplasms
35013157,hsa-mir-432,Glioma
31908492,hsa-mir-432,Nasopharyngeal Carcinoma
36775360,hsa-mir-432,Osteosarcoma
32432733,hsa-mir-5590,Prostatic Neoplasms
31402556,hsa-mir-5590,"Carcinoma, Hepatocellular"
33088216,hsa-mir-5590,Triple Negative Breast Neoplasms
34870494,hsa-mir-492,"Carcinoma, Renal Cell"
34818961,hsa-mir-492,"Carcinoma, Non-Small-Cell Lung"
32391718,hsa-mir-492,Breast Neoplasms
32456284,hsa-mir-23a,Nerve Degeneration
31643088,hsa-mir-23a,Muscular Atrophy
31114485,hsa-mir-23a,Epilepsy
33953168,hsa-mir-23a,Sjogren's Syndrome
30981077,hsa-mir-23a,Periodontitis
33779805,hsa-mir-23a,Brain Injuries
31643088,hsa-mir-23a,Atrophy
33240872,hsa-mir-23a,Sexually Transmitted Diseases
36242914,hsa-mir-23a,Achard-Thiers syndrome
31114485,hsa-mir-23a,"Epilepsy, Temporal Lobe"
35592920,hsa-mir-23a,Muscular Atrophy
35313796,hsa-mir-23a,Medulloblastoma
33963706,hsa-mir-23a,Osteoarthritis
33121268,hsa-mir-23a,Osteosarcoma
32582989,hsa-mir-23a,Stomach Neoplasms
32531989,hsa-mir-23a,Alzheimer Disease
31994011,hsa-mir-23a,"Carcinoma, Hepatocellular"
30391932,hsa-mir-23a,Graves Disease
36289596,hsa-mir-23a,Lung Neoplasms
35756932,hsa-mir-23a,Cardiomyopathies
35756932,hsa-mir-23a,Sepsis
35137264,hsa-mir-23a,Subarachnoid Hemorrhage
34785106,hsa-mir-23a,"Liver Diseases, Alcoholic"
33888994,hsa-mir-23a,Squamous Cell Carcinoma of Head and Neck
33403590,hsa-mir-23a,Cerebral Hemorrhage
33403590,hsa-mir-23a,"Thyroid Cancer, Papillary"
33403590,hsa-mir-23a,Inflammation
33292246,hsa-mir-23a,Colorectal Neoplasms
31883358,hsa-mir-23a,"Arthritis, Rheumatoid"
36096386,hsa-mir-23a,Glioma
35305106,hsa-mir-23a,Ovarian Neoplasms
33085646,hsa-mir-23a,Glioma
32293332,hsa-mir-23a,Colonic Neoplasms
31769216,hsa-mir-23a,"Carcinoma, Hepatocellular"
31769216,hsa-mir-23a,Hepatitis B
31680314,hsa-mir-23a,Esophageal Squamous Cell Carcinoma
31158376,hsa-mir-23a,Diabetic Foot
30393198,hsa-mir-23a,Colorectal Neoplasms
32801893,hsa-mir-23a,Melanoma
31336125,hsa-mir-23a,"Epilepsy, Temporal Lobe"
30824348,hsa-mir-23a,Brain Injuries
33710685,hsa-mir-23a,"Diabetes Mellitus, Type 2"
35116709,hsa-mir-23a,"Carcinoma, Non-Small-Cell Lung"
33767774,hsa-mir-23a,"Arthritis, Rheumatoid"
34384196,hsa-mir-34,Uterine Cervical Neoplasms
34384196,hsa-mir-34,Disease
32507765,hsa-mir-34,Cystic Fibrosis
34384196,hsa-mir-34,Squamous Intraepithelial Lesions
34384196,hsa-mir-34,"Spherocytosis, Type 1"
35306001,hsa-mir-4,Tauopathies
34467896,hsa-mir-34,"Carcinoma, Non-Small-Cell Lung"
30679313,hsa-mir-4,Osteosarcoma
33520845,hsa-mir-34,"Diabetes Mellitus, Type 2"
32329821,hsa-mir-34,Cataract
32062455,hsa-mir-34,Lung Neoplasms
33718673,hsa-mir-34,Endometriosis
30700725,hsa-mir-34c,Acquired Immunodeficiency Syndrome
36316351,hsa-mir-34c,Stomach Neoplasms
35499148,hsa-mir-34c,Pulmonary Fibrosis
34817330,hsa-mir-34c,Nasopharyngeal Carcinoma
33396625,hsa-mir-34c,Triple Negative Breast Neoplasms
30793707,hsa-mir-34c,Osteosarcoma
30537410,hsa-mir-34c,Ovarian Neoplasms
34368091,hsa-mir-34c,Acute Lung Injury
32826607,hsa-mir-34c,Spinal Cord Injuries
34184082,hsa-mir-34c,"Arthritis, Rheumatoid"
32700743,hsa-mir-34c,Colonic Neoplasms
32353411,hsa-mir-34c,Endometriosis
30426533,hsa-mir-34c,Urinary Bladder Neoplasms
34790743,hsa-mir-34c,Squamous Cell Carcinoma of Head and Neck
32126145,hsa-mir-34c,Neuralgia
31216648,hsa-mir-34c,Endometrial Neoplasms
31032652,hsa-mir-34c,"Pulmonary Disease, Chronic Obstructive"
31068575,hsa-mir-34c,"Carcinoma, Hepatocellular"
31660971,hsa-mir-34c,Acute Lung Injury
34531664,hsa-mir-34c,Lung Neoplasms
32308421,hsa-mir-34c,Ovarian Neoplasms
32407174,hsa-mir-371a,Colorectal Neoplasms
30944639,hsa-mir-371a,Rectal Neoplasms
35724456,hsa-mir-371a,Liver Neoplasms
30552617,hsa-mir-16-1,"Lymphoma, Large B-Cell, Diffuse"
32190086,hsa-mir-16-1,Breast Neoplasms
31018244,hsa-mir-16-1,Osteosarcoma
33344462,hsa-mir-16-1,Breast Neoplasms
35171433,hsa-mir-125b-2,Cerebral Hemorrhage
33949293,hsa-mir-125b-2,"Carcinoma, Hepatocellular"
34232945,hsa-mir-1287,"Hypoadrenocorticism, Familial"
34082777,hsa-mir-1287,Breast Neoplasms
33877318,hsa-mir-1287,Grave Disease
33184989,hsa-mir-1287,Pancreatic Carcinoma
33061591,hsa-mir-1287,"Carcinoma, Hepatocellular"
33313253,hsa-mir-1287,Thyroid Neoplasms
35081869,hsa-mir-1245a,"Carcinoma, Non-Small-Cell Lung"
35695254,hsa-mir-448,Colorectal Neoplasms
34476497,hsa-mir-448,Colorectal Neoplasms
33328586,hsa-mir-448,"Carcinoma, Hepatocellular"
32787801,hsa-mir-448,Squamous Cell Carcinoma of Head and Neck
32572888,hsa-mir-448,Hodgkin Disease
32525527,hsa-mir-448,Lung Neoplasms
36693615,hsa-mir-448,Heart Failure
35117854,hsa-mir-448,"Carcinoma, Ovarian Epithelial"
32012267,hsa-mir-448,Neuralgia
31002121,hsa-mir-448,Spinal Cord Injuries
35284123,hsa-mir-448,"Carcinoma, Hepatocellular"
34523739,hsa-mir-487a,"Carcinoma, Non-Small-Cell Lung"
35765275,hsa-mir-487a,Osteosarcoma
34583641,hsa-mir-29b-1,Multiple Sclerosis
32034483,hsa-mir-29b-1,Colorectal Neoplasms
31939611,hsa-mir-29b-1,"Cicatrix, Hypertrophic"
35711826,hsa-mir-29b-1,Stomach Neoplasms
35569696,hsa-mir-1290,Ovarian Neoplasms
34043929,hsa-mir-1290,"Carcinoma, Non-Small-Cell Lung"
31960662,hsa-mir-1290,"Leukemia, Myeloid, Acute"
35504176,hsa-mir-1290,Esophageal Squamous Cell Carcinoma
32840094,hsa-mir-1290,"Leukemia, Myeloid, Acute"
